UUID,timeSlot,totalKeys,sharing,consumption,remainder
a9448eba34ad3e5c3eff2f19199bad94,7,1090519038,459032178,536740384.3,0.507812
b28f42d989cfc821a762df290c62f729,7,1090519037,99969233,352147135.9,0.677083
bf9e293b83ddbb32040aac0c6be221e5,8,16777215,3035915,16646151.4,0.007812
cd4c30b63be63dae7decda66c45e6ee5,8,16777215,7595416,16777215,0
e7f180f200d2b3d396c7cf54570eaef2,8,1207959543,456545530,172565476.4,0.857143
1b7b4236e27163699013842b23f58639,8,201326586,61504417,67108794.89,0.666667
23e6fc29cc7fdf127fd57797caec1ef9,8,184549369,19127822,28392182.22,0.846154
2a5fdd3f3ba34c005a3b110662f2420e,8,411041788,301049645,96337919.06,0.765625
8569bee0f4aba3c064656bff33a63b1f,8,67108859,57057228,0,1
9f1da583f2fe3f475c87afdae6abb996,8,0,0,0,0
a9448eba34ad3e5c3eff2f19199bad94,8,1082130430,209502962,536838413.5,0.503906
b28f42d989cfc821a762df290c62f729,8,1082130429,900017914,355074047,0.671875
bf9e293b83ddbb32040aac0c6be221e5,9,8388607,3995852,8355841.101,0.003906
cd4c30b63be63dae7decda66c45e6ee5,9,8388607,8292328,8388607,0
e7f180f200d2b3d396c7cf54570eaef2,9,1174405111,1037809913,195734576.6,0.833333
1b7b4236e27163699013842b23f58639,9,184549370,2296378,71769219.95,0.611111
23e6fc29cc7fdf127fd57797caec1ef9,9,167772153,121038700,38716611.98,0.769231
2a5fdd3f3ba34c005a3b110662f2420e,9,406847484,307714287,98533578.45,0.757812
5da7f1a2c0703c294a1b14677c00ab70,9,0,0,0,0
8569bee0f4aba3c064656bff33a63b1f,9,125829112,29062373,14803417.54,0.882353
9f1da583f2fe3f475c87afdae6abb996,9,33554427,32269614,0,1
a9448eba34ad3e5c3eff2f19199bad94,9,1077936126,556373313,536862853.7,0.501953
b28f42d989cfc821a762df290c62f729,9,1077936125,884415857,356504736.7,0.669271
bf9e293b83ddbb32040aac0c6be221e5,10,4194303,2733290,4186111.526,0.001953
cd4c30b63be63dae7decda66c45e6ee5,10,4194303,1544037,4194303,0
e7f180f200d2b3d396c7cf54570eaef2,10,1157627895,78702773,206718770.8,0.821429
1b7b4236e27163699013842b23f58639,10,176160762,132494938,73400376.22,0.583333
23e6fc29cc7fdf127fd57797caec1ef9,10,159383545,109265406,42910991.2,0.730769
2a5fdd3f3ba34c005a3b110662f2420e,10,404750332,271247047,99606628.2,0.753906
32ab7472fba2c88bab5ba0c0961b3457,10,0,0,0,0
5da7f1a2c0703c294a1b14677c00ab70,10,33554425,26797962,0,1
8569bee0f4aba3c064656bff33a63b1f,10,117440504,2646063,20724843.18,0.823529
9f1da583f2fe3f475c87afdae6abb996,10,79691767,68051733,7589684.506,0.904762
a9448eba34ad3e5c3eff2f19199bad94,10,1075838974,596682984,536868392.3,0.500977
b28f42d989cfc821a762df290c62f729,10,1075838973,356896552,357211890,0.667969
bf9e293b83ddbb32040aac0c6be221e5,11,2097151,2055597,2095102.083,0.000977
cd4c30b63be63dae7decda66c45e6ee5,11,2097151,1476227,2097151,0
e7f180f200d2b3d396c7cf54570eaef2,11,1149239287,303564340,212062230.2,0.815476
1b7b4236e27163699013842b23f58639,11,171966458,100952750,74041190.29,0.569444
23e6fc29cc7fdf127fd57797caec1ef9,11,155189241,110394026,44766198.84,0.711538
2a5fdd3f3ba34c005a3b110662f2420e,11,403701756,208131554,100137009.5,0.751953
32ab7472fba2c88bab5ba0c0961b3457,11,20971512,11490016,0,1
3b23e436f382689ed501eb22c1b95736,11,0,0,0,0
5da7f1a2c0703c294a1b14677c00ab70,11,48234486,14773427,3858758.88,0.92
8569bee0f4aba3c064656bff33a63b1f,11,113246200,73626889,23315354.15,0.794118
9f1da583f2fe3f475c87afdae6abb996,11,75497463,34960097,10785341.07,0.857143
a9448eba34ad3e5c3eff2f19199bad94,11,1074790398,570405131,536870701.3,0.500488
b28f42d989cfc821a762df290c62f729,11,1074790397,889629793,357563418.9,0.667318
bf9e293b83ddbb32040aac0c6be221e5,12,1048575,646877,1048063.295,0.000488
cd4c30b63be63dae7decda66c45e6ee5,12,1048575,980478,1048575,0
e7f180f200d2b3d396c7cf54570eaef2,12,1145044983,540783092,214695934.3,0.8125
19eeafb7e15ffdc347fc9f61116ea605,12,0,0,0,0
1b7b4236e27163699013842b23f58639,12,169869306,42039426,74317821.38,0.5625
23e6fc29cc7fdf127fd57797caec1ef9,12,153092089,123852797,45633230.61,0.701923
2a5fdd3f3ba34c005a3b110662f2420e,12,403177468,256528242,100400462.6,0.750977
32ab7472fba2c88bab5ba0c0961b3457,12,28311541,27247503,1952533.737,0.931034
3b23e436f382689ed501eb22c1b95736,12,10485752,1706589,0,1
5da7f1a2c0703c294a1b14677c00ab70,12,46137334,35373540,5536480.08,0.88
8569bee0f4aba3c064656bff33a63b1f,12,111149048,36178794,24518146.2,0.779412
9f1da583f2fe3f475c87afdae6abb996,12,73400311,13144714,12233409.63,0.833333
a9448eba34ad3e5c3eff2f19199bad94,12,1074266110,182832718,536870934.1,0.500244
b28f42d989cfc821a762df290c62f729,12,1074266109,447419634,357739208.4,0.666992
bf9e293b83ddbb32040aac0c6be221e5,13,524287,449151,524159.074,0.000244
cd4c30b63be63dae7decda66c45e6ee5,13,524287,275178,524287,0
e7f180f200d2b3d396c7cf54570eaef2,13,1142947831,715504271,216003424.7,0.811012
19eeafb7e15ffdc347fc9f61116ea605,13,9699315,3604047,0,1
1b7b4236e27163699013842b23f58639,13,168820730,19725782,74445214.95,0.559028
23e6fc29cc7fdf127fd57797caec1ef9,13,152043513,148035591,46051699.44,0.697115
2a5fdd3f3ba34c005a3b110662f2420e,13,402915324,298083709,100532208.3,0.750488
32ab7472fba2c88bab5ba0c0961b3457,13,27262965,19955782,2820299.203,0.896552
3b23e436f382689ed501eb22c1b95736,13,16252916,13956707,985024.2271,0.939394
5da7f1a2c0703c294a1b14677c00ab70,13,45088758,20034201,6312426.12,0.86
7cda77cd212ff9a480f08ca8a91f0eca,13,0,0,0,0
8569bee0f4aba3c064656bff33a63b1f,13,110100472,55616041,25096411.69,0.772059
9f1da583f2fe3f475c87afdae6abb996,13,72351735,42829149,12919921.67,0.821429
a9448eba34ad3e5c3eff2f19199bad94,13,1074003966,918122992,536870954.5,0.500122
b28f42d989cfc821a762df290c62f729,13,1074003965,707237612,357826975,0.666829
bf9e293b83ddbb32040aac0c6be221e5,14,262143,130728,262111.0186,0.000122
cd4c30b63be63dae7decda66c45e6ee5,14,262143,168839,262143,0
e7f180f200d2b3d396c7cf54570eaef2,14,1141899255,898812386,216654829.4,0.810268
19eeafb7e15ffdc347fc9f61116ea605,14,9175027,1909077,495946.9095,0.945946
1b7b4236e27163699013842b23f58639,14,168296442,118213007,74506181.24,0.557292
23e6fc29cc7fdf127fd57797caec1ef9,14,151519225,68206265,46257001.16,0.694712
286b271a873c7b4e190f384e28e4063a,14,0,0,0,0
2a5fdd3f3ba34c005a3b110662f2420e,14,402784252,255277540,100597783.6,0.750244
32ab7472fba2c88bab5ba0c0961b3457,14,26738677,25029526,3227090.927,0.87931
3b23e436f382689ed501eb22c1b95736,14,15728628,149217,1429873.843,0.909091
5da7f1a2c0703c294a1b14677c00ab70,14,44564470,40521493,6684670.5,0.85
7cda77cd212ff9a480f08ca8a91f0eca,14,2097145,178522,0,1
8569bee0f4aba3c064656bff33a63b1f,14,109576184,26293482,25379816.59,0.768382
9f1da583f2fe3f475c87afdae6abb996,14,71827447,6005931,13253887.83,0.815476
a9448eba34ad3e5c3eff2f19199bad94,14,1073872894,856464401,536870940.8,0.500061
b28f42d989cfc821a762df290c62f729,14,1073872893,131887504,357870289.3,0.666748
bf9e293b83ddbb32040aac0c6be221e5,15,131071,55801,131063.0047,0.000061
cd4c30b63be63dae7decda66c45e6ee5,15,131071,44248,131071,0
e7f180f200d2b3d396c7cf54570eaef2,15,1141374967,459436335,216979946.7,0.809896
19eeafb7e15ffdc347fc9f61116ea605,15,8912883,538085,722665.4665,0.918919
1b7b4236e27163699013842b23f58639,15,168034298,29177744,74535981.77,0.556424
23e6fc29cc7fdf127fd57797caec1ef9,15,151257081,150332014,46358782.76,0.69351
286b271a873c7b4e190f384e28e4063a,15,2162676,1885339,0,1
2a5fdd3f3ba34c005a3b110662f2420e,15,402718716,228159092,100630547.3,0.750122
32ab7472fba2c88bab5ba0c0961b3457,15,26476533,14287993,3423680.482,0.87069
3b23e436f382689ed501eb22c1b95736,15,15466484,7944123,1640390.76,0.893939
5da7f1a2c0703c294a1b14677c00ab70,15,44302326,15524810,6866860.53,0.845
7cda77cd212ff9a480f08ca8a91f0eca,15,5111794,4696068,249358.4231,0.951219
8569bee0f4aba3c064656bff33a63b1f,15,109314040,62441304,25520018.52,0.766544
96b7bd9a421bca1b6a8e2916b9ce9f93,15,0,0,0,0
9f1da583f2fe3f475c87afdae6abb996,15,71565303,19138654,13418494.31,0.8125
a9448eba34ad3e5c3eff2f19199bad94,15,1073807358,49872804,536870391,0.500031
b28f42d989cfc821a762df290c62f729,15,1073807357,517782683,357892475.4,0.666707
bf9e293b83ddbb32040aac0c6be221e5,16,65535,45542,65532.96842,0.000031
cd4c30b63be63dae7decda66c45e6ee5,16,65535,50149,65535,0
e7f180f200d2b3d396c7cf54570eaef2,16,1141112823,611223413,217142359.1,0.80971
19eeafb7e15ffdc347fc9f61116ea605,16,8781811,4236116,830715.4115,0.905405
1b7b4236e27163699013842b23f58639,16,167903226,24251040,74550711.38,0.55599
23e6fc29cc7fdf127fd57797caec1ef9,16,151126009,18635207,46409437.23,0.692909
286b271a873c7b4e190f384e28e4063a,16,2818033,2004355,125247.4767,0.955555
2a5fdd3f3ba34c005a3b110662f2420e,16,402685948,11051925,100646923.2,0.750061
32ab7472fba2c88bab5ba0c0961b3457,16,26345461,11330681,3520306.844,0.866379
3b23e436f382689ed501eb22c1b95736,16,15335412,12254915,1742654.878,0.886364
5da7f1a2c0703c294a1b14677c00ab70,16,44171254,351312,6956972.505,0.8425
6e0c2e9c32fac15d0b736e7f72760ce0,16,0,0,0,0
7cda77cd212ff9a480f08ca8a91f0eca,16,4980722,4471190,364444.4095,0.926829
8569bee0f4aba3c064656bff33a63b1f,16,109182968,55706993,25589758.13,0.765625
96b7bd9a421bca1b6a8e2916b9ce9f93,16,393210,51704,0,1
9f1da583f2fe3f475c87afdae6abb996,16,71434231,9642244,13500212.45,0.811012
a9448eba34ad3e5c3eff2f19199bad94,16,1073774590,981494098,536871188.4,0.500015
b28f42d989cfc821a762df290c62f729,16,1073774589,1027428807,357903029.6,0.666687
bf9e293b83ddbb32040aac0c6be221e5,17,32767,21109,32766.5085,0.000015
cd4c30b63be63dae7decda66c45e6ee5,17,32767,25225,32767,0
e7f180f200d2b3d396c7cf54570eaef2,17,1140981751,130776972,217223528.7,0.809617
19eeafb7e15ffdc347fc9f61116ea605,17,8716275,2222349,883403.1875,0.898649
1b7b4236e27163699013842b23f58639,17,167837690,162870289,74558033.52,0.555773
23e6fc29cc7fdf127fd57797caec1ef9,17,151060473,58198107,46434780.92,0.692608
286b271a873c7b4e190f384e28e4063a,17,2752497,2668742,183500.7175,0.933333
2a5fdd3f3ba34c005a3b110662f2420e,17,402669564,233507397,100654908.2,0.750031
32ab7472fba2c88bab5ba0c0961b3457,17,26279925,2750158,3568183.097,0.864224
3b23e436f382689ed501eb22c1b95736,17,15269876,7996246,1793049.919,0.882576
5da7f1a2c0703c294a1b14677c00ab70,17,44105718,7474761,7001782.733,0.84125
6e0c2e9c32fac15d0b736e7f72760ce0,17,393207,281462,0,1
751cbcc1c2e98718b8504bde96824acb,17,0,0,0,0
7cda77cd212ff9a480f08ca8a91f0eca,17,4915186,3443658,419589.7681,0.914634
8569bee0f4aba3c064656bff33a63b1f,17,109117432,30818086,25624592.14,0.765165
96b7bd9a421bca1b6a8e2916b9ce9f93,17,1540080,567575,62861.44536,0.959183
9f1da583f2fe3f475c87afdae6abb996,17,71368695,6790898,13540925.24,0.810268
a9448eba34ad3e5c3eff2f19199bad94,17,1073758206,236815988,536870512.9,0.500008
b28f42d989cfc821a762df290c62f729,17,1073758205,49318302,357908306.2,0.666677
bf9e293b83ddbb32040aac0c6be221e5,18,16383,14616,16382.86894,0.000008
cd4c30b63be63dae7decda66c45e6ee5,18,16383,12722,16383,0
e7f180f200d2b3d396c7cf54570eaef2,18,1140916215,322878478,217264674.8,0.80957
000c00a0e99903f7255edf24d9ab0b6a,18,0,0,0,0
19eeafb7e15ffdc347fc9f61116ea605,18,8683507,7571082,909423.6881,0.89527
1b7b4236e27163699013842b23f58639,18,167804922,73940565,74561767.82,0.555664
23e6fc29cc7fdf127fd57797caec1ef9,18,151027705,149219291,46447362.45,0.692458
286b271a873c7b4e190f384e28e4063a,18,2719729,1497340,211535.0822,0.922222
2a5fdd3f3ba34c005a3b110662f2420e,18,402661372,373228520,100659303.1,0.750015
32ab7472fba2c88bab5ba0c0961b3457,18,26247157,5139546,3592002.177,0.863147
3b23e436f382689ed501eb22c1b95736,18,15237108,9589816,1818061.252,0.880682
5da7f1a2c0703c294a1b14677c00ab70,18,44072950,14085120,7024126.406,0.840625
6e0c2e9c32fac15d0b736e7f72760ce0,18,835567,716825,31531.79188,0.962263
751cbcc1c2e98718b8504bde96824acb,18,196599,19132,0,1
7cda77cd212ff9a480f08ca8a91f0eca,18,4882418,989209,446565.48,0.908536
8569bee0f4aba3c064656bff33a63b1f,18,109084664,16575089,25641877.46,0.764936
96b7bd9a421bca1b6a8e2916b9ce9f93,18,1507312,1263859,92285.1772,0.938775
9f1da583f2fe3f475c87afdae6abb996,18,71335927,41697870,13561245.07,0.809896
a9448eba34ad3e5c3eff2f19199bad94,18,1073750014,797458145,536870712,0.500004
b28f42d989cfc821a762df290c62f729,18,1073750013,29481697,357910944.3,0.666672
bf9e293b83ddbb32040aac0c6be221e5,19,8191,388,8190.967236,0.000004
cd4c30b63be63dae7decda66c45e6ee5,19,8191,767,8191,0
e7f180f200d2b3d396c7cf54570eaef2,19,1140883447,631851498,217284675.1,0.809547
000c00a0e99903f7255edf24d9ab0b6a,19,249837,46590,0,1
19eeafb7e15ffdc347fc9f61116ea605,19,8667123,1012329,922346.5625,0.893581
1b7b4236e27163699013842b23f58639,19,167788538,120928484,74563548.4,0.55561
23e6fc29cc7fdf127fd57797caec1ef9,19,151011321,139536394,46453649.53,0.692383
286b271a873c7b4e190f384e28e4063a,19,2703345,1729303,225280.5522,0.916666
2a5fdd3f3ba34c005a3b110662f2420e,19,402657276,35396263,100661097.7,0.750008
32ab7472fba2c88bab5ba0c0961b3457,19,26230773,7908017,3603898.364,0.862608
3b23e436f382689ed501eb22c1b95736,19,15220724,14372826,1830520.372,0.879735
5da7f1a2c0703c294a1b14677c00ab70,19,44056566,7777959,7035304.911,0.840312
6e0c2e9c32fac15d0b736e7f72760ce0,19,819183,246994,46369.85372,0.943395
751cbcc1c2e98718b8504bde96824acb,19,450542,18578,15809.06824,0.964911
7cda77cd212ff9a480f08ca8a91f0eca,19,4866034,2230322,459898.6054,0.905488
8569bee0f4aba3c064656bff33a63b1f,19,109068280,59520281,25650569.02,0.764821
96b7bd9a421bca1b6a8e2916b9ce9f93,19,1490928,511481,106495.4961,0.928571
9f1da583f2fe3f475c87afdae6abb996,19,71319543,70705649,13571395.84,0.80971
a9448eba34ad3e5c3eff2f19199bad94,19,1073745918,197891922,536870811.5,0.500002
b28f42d989cfc821a762df290c62f729,19,1073745917,381713026,357912800.3,0.666669
bf9e293b83ddbb32040aac0c6be221e5,20,4095,2791,4094.99181,0.000002
cd4c30b63be63dae7decda66c45e6ee5,20,4095,451,4095,0
e7f180f200d2b3d396c7cf54570eaef2,20,1140867063,680971833,217295245.2,0.809535
fbf102d198ba287a353b0cddc191cb0d,20,0,0,0,0
000c00a0e99903f7255edf24d9ab0b6a,20,241645,196820,7923.297905,0.967211
19eeafb7e15ffdc347fc9f61116ea605,20,8658931,1786702,928791.5748,0.892736
1af9d33faff1826077e29e195ac5ef14,20,0,0,0,0
1b7b4236e27163699013842b23f58639,20,167780346,165267372,74564438.03,0.555583
23e6fc29cc7fdf127fd57797caec1ef9,20,151003129,42640533,46456867.65,0.692345
286b271a873c7b4e190f384e28e4063a,20,2695153,382282,232085.0151,0.913888
2a5fdd3f3ba34c005a3b110662f2420e,20,402655228,22764267,100662196.4,0.750004
32ab7472fba2c88bab5ba0c0961b3457,20,26222581,22878763,3609852.946,0.862338
3b23e436f382689ed501eb22c1b95736,20,15212532,390558,1836745.901,0.879261
5da7f1a2c0703c294a1b14677c00ab70,20,44048374,42399070,7040868.294,0.840156
6e0c2e9c32fac15d0b736e7f72760ce0,20,810991,502523,53557.03465,0.933961
751cbcc1c2e98718b8504bde96824acb,20,442350,165960,23282.6499,0.947366
7cda77cd212ff9a480f08ca8a91f0eca,20,4857842,2974731,466532.5722,0.903963
8569bee0f4aba3c064656bff33a63b1f,20,109060088,24999393,25654967.92,0.764763
96b7bd9a421bca1b6a8e2916b9ce9f93,20,1482736,1196762,113475.2688,0.923469
9f1da583f2fe3f475c87afdae6abb996,20,71311351,67142186,13576468.94,0.809617
a9448eba34ad3e5c3eff2f19199bad94,20,1073743870,607706444,536870861.3,0.500001
b28f42d989cfc821a762df290c62f729,20,1073743869,53777747,357913191.3,0.666668
bf9e293b83ddbb32040aac0c6be221e5,21,2047,87,2046.997953,0.000001
cd4c30b63be63dae7decda66c45e6ee5,21,2047,1132,2047,0
e7f180f200d2b3d396c7cf54570eaef2,21,1140858871,869147418,217299389.2,0.80953
fbf102d198ba287a353b0cddc191cb0d,21,0,0,0,0
000c00a0e99903f7255edf24d9ab0b6a,21,235501,23195,13513.28288,0.942619
19eeafb7e15ffdc347fc9f61116ea605,21,8652787,2906875,933609.7589,0.892103
1af9d33faff1826077e29e195ac5ef14,21,56302,35429,1976.143898,0.964901
1b7b4236e27163699013842b23f58639,21,167774202,75141361,74565230.79,0.555562
23e6fc29cc7fdf127fd57797caec1ef9,21,150996985,84338766,46459205.34,0.692317
286b271a873c7b4e190f384e28e4063a,21,2689009,1063339,237157.1488,0.911805
2a5fdd3f3ba34c005a3b110662f2420e,21,402653692,164676802,100663020.3,0.750001
32ab7472fba2c88bab5ba0c0961b3457,21,26216437,16117927,3614302.871,0.862136
3b23e436f382689ed501eb22c1b95736,21,15206388,4635170,1841402.348,0.878906
5da7f1a2c0703c294a1b14677c00ab70,21,44042230,14529101,7045039.153,0.840039
6e0c2e9c32fac15d0b736e7f72760ce0,21,804847,410905,58846.38841,0.926885
751cbcc1c2e98718b8504bde96824acb,21,436206,390502,28698.86515,0.934208
79394d52d0794fda6566cbb829fee639,21,0,0,0,0
7cda77cd212ff9a480f08ca8a91f0eca,21,4851698,1174208,471488.0116,0.90282
8569bee0f4aba3c064656bff33a63b1f,21,109053944,41557053,25658211.94,0.76472
96b7bd9a421bca1b6a8e2916b9ce9f93,21,1476592,428864,118655.9799,0.919642
9f1da583f2fe3f475c87afdae6abb996,21,71305207,38214763,13580290.59,0.809547
a9448eba34ad3e5c3eff2f19199bad94,21,1073742334,20256066,536871167,0.5
b28f42d989cfc821a762df290c62f729,21,1073742333,795079411,357913753.1,0.666667
bf9e293b83ddbb32040aac0c6be221e5,22,511,26,511,0
cd4c30b63be63dae7decda66c45e6ee5,22,511,48,511,0
e7f180f200d2b3d396c7cf54570eaef2,22,1140852727,684106352,217303923.2,0.809525
fbf102d198ba287a353b0cddc191cb0d,22,129004,26505,3969.969096,0.969226
000c00a0e99903f7255edf24d9ab0b6a,22,234477,56996,14415.64596,0.93852
19eeafb7e15ffdc347fc9f61116ea605,22,8651763,6365234,934416.3593,0.891997
1af9d33faff1826077e29e195ac5ef14,22,63468,43271,2930.190624,0.953832
1b7b4236e27163699013842b23f58639,22,167773178,131160742,74565279,0.555559
23e6fc29cc7fdf127fd57797caec1ef9,22,150995961,49006641,46459645.25,0.692312
2625494724018df4323553ff542e2e5a,22,0,0,0,0
286b271a873c7b4e190f384e28e4063a,22,2687985,2310114,237999.5679,0.911458
2a5fdd3f3ba34c005a3b110662f2420e,22,402653436,359515743,100663359,0.75
32ab7472fba2c88bab5ba0c0961b3457,22,26215413,11865061,3615026.806,0.862103
3b23e436f382689ed501eb22c1b95736,22,15205364,11993862,1842175.465,0.878847
5da7f1a2c0703c294a1b14677c00ab70,22,44041206,1665623,7045712.136,0.84002
6e0c2e9c32fac15d0b736e7f72760ce0,22,803823,143551,59719.22596,0.925706
751cbcc1c2e98718b8504bde96824acb,22,435182,10939,29585.84827,0.932015
79394d52d0794fda6566cbb829fee639,22,10230,8093,0,1
7cda77cd212ff9a480f08ca8a91f0eca,22,4850674,4733508,472314.9781,0.902629
8569bee0f4aba3c064656bff33a63b1f,22,109052920,8575503,25658734.39,0.764713
96b7bd9a421bca1b6a8e2916b9ce9f93,22,1475568,450265,119515.1057,0.919004
9f1da583f2fe3f475c87afdae6abb996,22,71304183,41927356,13580951.22,0.809535
a9448eba34ad3e5c3eff2f19199bad94,22,1073742078,130106152,536871039,0.5
b28f42d989cfc821a762df290c62f729,22,1073742077,815596602,357913667.8,0.666667
bf9e293b83ddbb32040aac0c6be221e5,23,255,77,255,0
cd4c30b63be63dae7decda66c45e6ee5,23,255,178,255,0
e7f180f200d2b3d396c7cf54570eaef2,23,1140851703,1042570935,217303728.1,0.809525
fbf102d198ba287a353b0cddc191cb0d,23,160215,154996,7793.49846,0.951356
000c00a0e99903f7255edf24d9ab0b6a,23,233965,51278,14863.56249,0.936471
19eeafb7e15ffdc347fc9f61116ea605,23,8651251,7849963,934810.9268,0.891945
1af9d33faff1826077e29e195ac5ef14,23,62956,3758,3390.936072,0.946138
1b7b4236e27163699013842b23f58639,23,167772666,18810890,74565387,0.555557
23e6fc29cc7fdf127fd57797caec1ef9,23,150995449,3732442,46459789.7,0.69231
24b701ecd0db088223878f634ae6d43e,23,0,0,0,0
2625494724018df4323553ff542e2e5a,23,10350,221,0,1
286b271a873c7b4e190f384e28e4063a,23,2687473,2224862,238421.8547,0.911284
2a5fdd3f3ba34c005a3b110662f2420e,23,402653308,301953944,100663327,0.75
32ab7472fba2c88bab5ba0c0961b3457,23,26214901,25717707,3615401.857,0.862086
3b23e436f382689ed501eb22c1b95736,23,15204852,14854324,1842569.58,0.878817
5da7f1a2c0703c294a1b14677c00ab70,23,44040694,32334015,7046070.633,0.84001
6e0c2e9c32fac15d0b736e7f72760ce0,23,803311,147243,60155.14092,0.925116
751cbcc1c2e98718b8504bde96824acb,23,434670,204352,30027.87294,0.930918
79394d52d0794fda6566cbb829fee639,23,19690,9318,1855.05397,0.905787
7cda77cd212ff9a480f08ca8a91f0eca,23,4850162,1287050,472725.8895,0.902534
8569bee0f4aba3c064656bff33a63b1f,23,109052408,106752253,25659050.13,0.764709
96b7bd9a421bca1b6a8e2916b9ce9f93,23,1475056,673616,119944.1786,0.918685
9f1da583f2fe3f475c87afdae6abb996,23,71303671,70226368,13581210.22,0.80953
a9448eba34ad3e5c3eff2f19199bad94,23,1073741950,105207971,536870975,0.5
b28f42d989cfc821a762df290c62f729,23,1073741949,143354723,357913625.1,0.666667
bf9e293b83ddbb32040aac0c6be221e5,24,127,106,127,0
cd4c30b63be63dae7decda66c45e6ee5,24,127,34,127,0
e7f180f200d2b3d396c7cf54570eaef2,24,1140851191,724438088,217304771.5,0.809524
fbf102d198ba287a353b0cddc191cb0d,24,158167,112182,9617.344435,0.939195
000c00a0e99903f7255edf24d9ab0b6a,24,233709,126435,15086.85079,0.935446
19eeafb7e15ffdc347fc9f61116ea605,24,8650995,7689207,935016.8416,0.891918
1af9d33faff1826077e29e195ac5ef14,24,62700,55232,3618.417,0.94229
1b7b4236e27163699013842b23f58639,24,167772410,119498604,74565440.99,0.555556
23e6fc29cc7fdf127fd57797caec1ef9,24,150995193,144079967,46459861.93,0.692309
24b701ecd0db088223878f634ae6d43e,24,6189,4223,0,1
2625494724018df4323553ff542e2e5a,24,11881,2903,942.745469,0.920651
286b271a873c7b4e190f384e28e4063a,24,2687217,602012,238632.9313,0.911197
2a5fdd3f3ba34c005a3b110662f2420e,24,402653244,252253838,100663311,0.75
32ab7472fba2c88bab5ba0c0961b3457,24,26214645,8298717,3615602.482,0.862077
3b23e436f382689ed501eb22c1b95736,24,15204596,2121852,1842751.421,0.878803
582dff23dc4fe61ae147f9bbffddb682,24,0,0,0,0
5da7f1a2c0703c294a1b14677c00ab70,24,44040438,8001589,7046249.878,0.840005
6e0c2e9c32fac15d0b736e7f72760ce0,24,803055,312642,60372.06879,0.924822
751cbcc1c2e98718b8504bde96824acb,24,434414,186008,30248.24682,0.93037
